1263 SFA 12:0 (G),1222 Alanine (G),1259 SFA 4:0 (G),"1101 Manganese, Mn (MG)",1301 SFA 24:0 (G),"1120 Cryptoxanthin, beta (UG)","1177 Folate, total (UG)",1278 PUFA 2:5 n-3 (EPA) (G),1221 Histidine (G),"1293 Fatty acids, total polyunsaturated (G)",1276 PUFA 18:4 (G),"1127 Tocopherol, delta (MG)",1280 PUFA 22:5 n-3 (DPA) (G),"1110 Vitamin D (D2 + D3), International Units (IU)",1253 Cholesterol (MG),"1313 PUFA 20:2 n-6 c,c (G)","1091 Phosphorus, P (MG)","1018 Alcohol, ethyl (G)",1166 Riboflavin (MG),1062 Energy (kJ),"1104 Vitamin A, IU (IU)","1092 Potassium, K (MG)",1008 Energy (KCAL),1213 Leucine (G),1215 Methionine (G),1165 Thiamin (MG),name,1279 MUFA 22:1 (G),"1130 Tocotrienol, gamma (MG)",1214 Lysine (G),"1125 Tocopherol, beta (MG)",1288 Beta-sitosterol (MG),1274 MUFA 14:1 (G),1272 PUFA 22:6 n-3 (DHA) (G),1223 Aspartic acid (G),1014 Maltose (G),1262 SFA 10:0 (G),1283 Phytosterols (MG),"1187 Folate, food (UG)","1099 Fluoride, F (UG)","1162 Vitamin C, total ascorbic acid (MG)","1106 Vitamin A, RAE (UG)",1273 SFA 22:0 (G),1277 MUFA 20:1 (G),"1090 Magnesium, Mg (MG)",1011 Glucose (dextrose) (G),1170 Pantothenic acid (MG),1275 MUFA 16:1 (G),1216 Cystine (G),1264 SFA 14:0 (G),"1126 Tocopherol, gamma (MG)",1271 PUFA 20:4 (G),1198 Betaine (MG),"1087 Calcium, Ca (MG)",1175 Vitamin B-6 (MG),1210 Tryptophan (G),"1108 Carotene, alpha (UG)",1217 Phenylalanine (G),1010 Sucrose (G),1051 Water (G),1178 Vitamin B-12 (UG),1220 Arginine (G),"1257 Fatty acids, total trans (G)",1004 Total lipid (fat) (G),1325 PUFA 20:3 (G),description,1007 Ash (G),"1131 Tocotrienol, delta (MG)",1227 Serine (G),"1079 Fiber, total dietary (G)","1089 Iron, Fe (MG)","1107 Carotene, beta (UG)",1218 Tyrosine (G),1226 Proline (G),1185 Vitamin K (phylloquinone) (UG),1333 MUFA 15:1 (G),1057 Caffeine (MG),"1235 Sugars, added (G)","1103 Selenium, Se (UG)",1260 SFA 6:0 (G),1009 Starch (G),"1098 Copper, Cu (MG)",1114 Vitamin D (D2 + D3) (UG),1299 SFA 15:0 (G),1268 MUFA 18:1 (G),1003 Protein (G),1266 SFA 18:0 (G),"1258 Fatty acids, total saturated (G)","1292 Fatty acids, total monounsaturated (G)",1219 Valine (G),1300 SFA 17:0 (G),1013 Lactose (G),1267 SFA 20:0 (G),1261 SFA 8:0 (G),1212 Isoleucine (G),1225 Glycine (G),1058 Theobromine (MG),1012 Fructose (G),1123 Lutein + zeaxanthin (UG),"1190 Folate, DFE (UG)",1265 SFA 16:0 (G),1270 PUFA 18:3 (G),1122 Lycopene (UG),"1246 Vitamin B-12, added (UG)",1211 Threonine (G),1109 Vitamin E (alpha-tocopherol) (MG),"1129 Tocotrienol, beta (MG)",1075 Galactose (G),"1128 Tocotrienol, alpha (MG)",1186 Folic acid (UG),1105 Retinol (UG),1285 Stigmasterol (MG),1224 Glutamic acid (G),"1180 Choline, total (MG)",1269 PUFA 18:2 (G),"2000 Sugars, total including NLEA (G)","1242 Vitamin E, added (MG)",1167 Niacin (MG),1184 Vitamin K (Dihydrophylloquinone) (UG),"1093 Sodium, Na (MG)","1005 Carbohydrate, by difference (G)",1323 MUFA 17:1 (G),1286 Campesterol (MG),"1095 Zinc, Zn (MG)"
0.0,,0.0,,,0.0,4.0,0.0,,0.052,0.0,,0.0,,0.0,,21.0,0.0,0.033,,,222,63.0,,,0.027,Cherry,0.0,,,,,,0.0,,,0.0,,4.0,,7.0,3.0,,0.0,11.0,,,0.001,,0.001,,0.0,,13.0,0.049,,0.0,,,82.2,0.0,,,0.2,,"Cherries, raw",,,,2.1,0.36,38.0,,,2.1,,0.0,,0.0,0.0,,0.06,0.0,,0.047,1.06,0.009,0.038,0.047,,,,,0.0,,,0.0,,85.0,4.0,0.027,0.026,0.0,0.0,,0.07,,,,0.0,0.0,,,6.1,0.027,12.8,0.0,0.154,,0.0,16.0,,,0.07
,0.2,,1.6,,,68.0,,0.121,0.288,,,,0.0,0.0,,96.0,,0.18,937,202,447,224,0.259,0.101,0.16,Chestnut,,,0.228,,,,,0.852,,,,68.0,,36.0,10.0,,0.01,84.0,,0.555,0.008,0.11,,,,,18.0,0.41,0.049,,0.19,,44.0,0.0,0.43,,1.11,,"Nuts, chestnuts, chinese, raw",1.67,,0.184,,1.41,,0.125,0.162,,,,,,,,0.363,0.0,,0.559,4.2,0.011,0.164,0.581,0.22,,,,,0.157,0.184,,,,68.0,0.151,0.028,,,0.167,,,,,0.0,0.0,,0.537,,0.258,,,0.8,,3.0,49.1,,,0.87
0.0,,0.0,,,407,16.0,0.0,,0.065,0.0,,0.0,,0.0,,20.0,0.0,0.036,,,166,53.0,,,0.058,Clementine,0.0,,,,,,0.0,,,0.0,,16.0,,26.7,34.0,,0.0,12.0,,,0.007,,0.002,,0.0,,37.0,0.078,,101,,,85.2,0.0,,,0.31,,"Clementine, raw",,,,1.8,0.15,155,,,0.0,,0.0,,0.1,0.0,,0.042,0.0,,0.053,0.81,0.002,0.039,0.06,,,,,0.0,,,0.0,,138,16.0,0.035,0.018,0.0,0.0,,0.2,,,,0.0,0.0,,,10.2,0.048,10.6,0.0,0.376,,2.0,13.3,,,0.07
14.9,0.17,0.0,1.5,,0.0,26.0,0.0,0.077,0.366,0.0,0.0,0.0,0.0,0.0,,113,0.0,0.02,1480.0,0.0,356,354,0.247,0.062,0.066,Cocos,0.0,,0.147,0.0,,,0.0,0.325,,1.86,47.0,26.0,,3.3,0.0,,0.0,32.0,,0.3,0.0,0.066,5.87,0.53,0.0,,14.0,0.054,0.039,0.0,0.169,,47.0,0.0,0.546,,33.5,,"Nuts, coconut meat, raw",0.97,,0.172,9.0,2.43,0.0,0.103,0.138,0.2,,0.0,,10.1,0.191,,0.435,0.0,,1.42,3.33,1.73,29.7,1.42,0.202,,,,2.35,0.131,0.158,0.0,,0.0,26.0,2.84,0.0,0.0,0.0,0.121,0.24,0.0,,1.46,0.0,0.0,,0.761,12.1,0.366,6.23,0.0,0.54,,20.0,15.2,,,1.1
0.001,,0.0,,,115,42.0,0.0,,0.487,0.0,,0.0,,0.0,,89.0,0.0,0.055,,,270,86.0,,,0.155,Corn,0.0,,,,,,0.0,,,0.003,,42.0,,6.8,9.0,,0.006,37.0,,,0.004,,0.001,,0.001,,2.0,0.093,,16.0,,,76.0,0.0,,,1.35,,"Corn, raw",,,,2.0,0.52,47.0,,,0.3,,0.0,,0.6,0.0,,0.054,0.0,,0.419,3.27,0.045,0.325,0.432,,,,,0.0,,,0.0,,644,42.0,0.262,0.014,0.0,0.0,,0.07,,,,0.0,0.0,,,23.0,0.472,6.26,0.0,1.77,,15.0,18.7,,,0.46
0.0,,0.0,,,26.0,7.0,0.0,,0.032,0.0,,0.0,,0.0,,24.0,0.0,0.033,,,147,15.0,,,0.027,Cucumber,0.0,,,,,,0.0,,,0.0,,7.0,,2.8,5.0,,0.0,13.0,,,0.0,,0.005,,0.0,,16.0,0.04,,11.0,,,95.2,0.0,,,0.11,,"Cucumber, raw",,,,0.5,0.28,45.0,,,16.4,,0.0,,0.3,0.0,,0.041,0.0,,0.005,0.65,0.005,0.037,0.005,,,,,0.0,,,0.0,,23.0,7.0,0.028,0.005,0.0,0.0,,0.03,,,,0.0,0.0,,,6.0,0.028,1.67,0.0,0.098,,2.0,3.63,,,0.2
0.001,,0.0,,,0.0,19.0,0.0,,0.019,0.0,,0.0,,0.0,,62.0,0.0,0.066,,,656,282,,,0.052,Dates,0.0,,,,,,0.0,,,0.001,,19.0,,0.4,0.0,,0.0,43.0,,,0.001,,0.001,,0.0,,39.0,0.165,,0.0,,,20.5,0.0,,,0.39,,Date,,,,8.0,1.02,6.0,,,2.7,,0.0,,3.0,0.0,,0.206,0.0,,0.035,2.45,0.011,0.032,0.036,,,,,0.001,,,0.0,,75.0,19.0,0.017,0.003,0.0,0.0,,0.05,,,,0.0,0.0,,,6.3,0.016,63.4,0.0,1.27,,2.0,75.0,,,0.29
0.0,0.051,0.0,0.232,,0.0,22.0,0.0,0.023,0.076,0.0,,0.0,0.0,0.0,,24.0,0.0,0.037,104,23.0,229,25.0,0.064,0.011,0.039,Eggplant,0.0,,0.047,,,,0.0,0.164,,0.0,7.0,22.0,,2.2,1.0,,0.0,14.0,1.58,0.281,0.002,0.006,0.0,,0.0,,9.0,0.084,0.009,0.0,0.043,0.26,92.3,0.0,0.057,0.0,0.18,,"Eggplant, raw",0.66,,0.042,3.0,0.23,14.0,0.027,0.043,3.5,,0.0,,0.3,0.0,,0.081,0.0,,0.014,0.98,0.009,0.034,0.016,0.053,,,,0.0,0.045,0.041,0.0,1.54,36.0,22.0,0.025,0.013,0.0,0.0,0.037,0.3,,,,0.0,0.0,,0.186,6.9,0.063,3.53,0.0,0.649,,2.0,5.88,,,0.16
0.0,,0.0,,,0.0,6.0,0.0,,0.144,0.0,,0.0,,0.0,,14.0,0.0,0.05,,,232,74.0,,,0.06,Fig,0.0,,,,,,0.0,,,0.0,,6.0,,2.0,7.0,,0.0,17.0,,,0.0,,0.002,,0.0,,35.0,0.113,,0.0,,,79.1,0.0,,,0.3,,"Fig, raw",,,,2.9,0.37,85.0,,,4.7,,0.0,,0.2,0.0,,0.07,0.0,,0.066,0.75,0.012,0.06,0.066,,,,,0.0,,,0.0,,9.0,6.0,0.046,0.0,0.0,0.0,,0.11,,,,0.0,0.0,,,4.7,0.144,16.3,0.0,0.4,,1.0,19.2,,,0.15
0.039,0.031,0.0,0.229,,0.0,11.0,0.0,0.03,0.154,0.0,,0.0,0.0,0.0,,34.0,0.0,0.034,333,0.0,415,80.0,0.074,0.013,0.025,Ginger,0.0,,0.057,,,,0.0,0.208,,0.0,15.0,11.0,,5.0,0.0,,0.007,43.0,,0.203,0.021,0.008,0.018,,0.0,,16.0,0.16,0.012,0.0,0.045,,78.9,0.0,0.043,0.0,0.75,,"Ginger root, raw",0.77,,0.045,2.0,0.6,0.0,0.02,0.041,0.1,,0.0,,0.7,0.0,,0.226,0.0,,0.119,1.82,0.017,0.203,0.154,0.073,,,,0.007,0.051,0.043,0.0,,0.0,11.0,0.12,0.034,0.0,0.0,0.036,0.26,,,,0.0,0.0,,0.162,28.8,0.12,1.7,0.0,0.75,,13.0,17.8,,,0.34
